dim,front_type,n_points,n_kink_points
3,random,1,3
3,linear,1,3
3,spherical,1,3
3,random,2,5
3,linear,2,5
3,spherical,2,5
3,random,2,5
3,linear,3,7
3,spherical,3,7
3,random,3,7
3,linear,4,9
3,spherical,4,9
3,random,3,7
3,linear,5,11
3,spherical,5,11
3,random,5,11
3,linear,6,13
3,spherical,6,13
3,random,6,13
3,linear,7,15
3,spherical,7,15
3,random,3,7
3,linear,8,17
3,spherical,8,17
3,random,5,11
3,linear,9,19
3,spherical,9,19
3,random,7,15
3,linear,10,21
3,spherical,10,21
3,random,4,9
3,linear,11,23
3,spherical,11,23
3,random,5,11
3,linear,12,25
3,spherical,12,25
3,random,8,17
3,linear,13,27
3,spherical,13,27
3,random,4,9
3,linear,14,29
3,spherical,14,29
3,random,6,13
3,linear,15,31
3,spherical,15,31
3,random,5,11
3,linear,16,33
3,spherical,16,33
3,random,8,17
3,linear,17,35
3,spherical,17,35
3,random,2,5
3,linear,18,37
3,spherical,18,37
3,random,7,15
3,linear,19,39
3,spherical,19,39
3,random,7,15
3,linear,20,41
3,spherical,20,41
3,random,7,15
3,linear,21,43
3,spherical,21,43
3,random,9,19
3,linear,22,45
3,spherical,22,45
3,random,6,13
3,linear,23,47
3,spherical,23,47
3,random,6,13
3,linear,24,49
3,spherical,24,49
3,random,4,9
3,linear,25,51
3,spherical,25,51
3,random,9,19
3,linear,26,53
3,spherical,26,53
3,random,8,17
3,linear,27,55
3,spherical,27,55
3,random,12,25
3,linear,28,57
3,spherical,28,57
3,random,7,15
3,linear,29,59
3,spherical,29,59
3,random,10,21
3,linear,30,61
3,spherical,30,61
3,random,8,17
3,linear,31,63
3,spherical,31,63
3,random,7,15
3,linear,32,65
3,spherical,32,65
3,random,10,21
3,linear,33,67
3,spherical,33,67
3,random,10,21
3,linear,34,69
3,spherical,34,69
3,random,10,21
3,linear,35,71
3,spherical,35,71
3,random,11,23
3,linear,36,73
3,spherical,36,73
3,random,7,15
3,linear,37,75
3,spherical,37,75
3,random,5,11
3,linear,38,77
3,spherical,38,77
3,random,12,25
3,linear,39,79
3,spherical,39,79
3,random,11,23
3,linear,40,81
3,spherical,40,81
3,random,12,25
3,linear,41,83
3,spherical,41,83
3,random,6,13
3,linear,42,85
3,spherical,42,85
3,random,15,31
3,linear,43,87
3,spherical,43,87
3,random,12,25
3,linear,44,89
3,spherical,44,89
3,random,10,21
3,linear,45,91
3,spherical,45,91
3,random,12,25
3,linear,46,93
3,spherical,46,93
3,random,15,31
3,linear,47,95
3,spherical,47,95
3,random,11,23
3,linear,48,97
3,spherical,48,97
3,random,12,25
3,linear,49,99
3,spherical,49,99
3,random,17,35
3,linear,50,101
3,spherical,50,101
4,random,1,4
4,linear,1,4
4,spherical,1,4
4,random,2,7
4,linear,2,7
4,spherical,2,7
4,random,3,13
4,linear,3,11
4,spherical,3,10
4,random,3,11
4,linear,4,15
4,spherical,4,15
4,random,4,16
4,linear,5,22
4,spherical,5,22
4,random,3,10
4,linear,6,30
4,spherical,6,21
4,random,6,22
4,linear,7,33
4,spherical,7,26
4,random,6,22
4,linear,8,36
4,spherical,8,33
4,random,7,25
4,linear,9,39
4,spherical,9,34
4,random,8,33
4,linear,10,45
4,spherical,10,45
4,random,6,21
4,linear,11,60
4,spherical,11,44
4,random,9,36
4,linear,12,53
4,spherical,12,61
4,random,7,24
4,linear,13,60
4,spherical,13,63
4,random,11,51
4,linear,14,67
4,spherical,14,67
4,random,2,7
4,linear,15,75
4,spherical,15,69
4,random,10,44
4,linear,16,75
4,spherical,16,75
4,random,14,59
4,linear,17,85
4,spherical,17,84
4,random,6,27
4,linear,18,79
4,spherical,18,82
4,random,12,47
4,linear,19,95
4,spherical,19,90
4,random,8,30
4,linear,20,93
4,spherical,20,103
4,random,9,30
4,linear,21,109
4,spherical,21,100
4,random,13,53
4,linear,22,98
4,spherical,22,110
4,random,17,75
4,linear,23,117
4,spherical,23,112
4,random,15,66
4,linear,24,125
4,spherical,24,120
4,random,7,24
4,linear,25,108
4,spherical,25,131
4,random,12,52
4,linear,26,130
4,spherical,26,143
4,random,9,32
4,linear,27,143
4,spherical,27,125
4,random,13,50
4,linear,28,149
4,spherical,28,134
4,random,14,56
4,linear,29,152
4,spherical,29,151
4,random,17,76
4,linear,30,159
4,spherical,30,160
4,random,12,49
4,linear,31,158
4,spherical,31,155
4,random,19,67
4,linear,32,169
4,spherical,32,164
4,random,10,43
4,linear,33,173
4,spherical,33,173
4,random,8,39
4,linear,34,186
4,spherical,34,183
4,random,16,87
4,linear,35,203
4,spherical,35,183
4,random,15,68
4,linear,36,189
4,spherical,36,201
4,random,20,84
4,linear,37,205
4,spherical,37,190
4,random,20,88
4,linear,38,208
4,spherical,38,199
4,random,18,71
4,linear,39,194
4,spherical,39,194
4,random,19,84
4,linear,40,230
4,spherical,40,214
4,random,16,69
4,linear,41,226
4,spherical,41,211
4,random,19,78
4,linear,42,227
4,spherical,42,222
4,random,10,37
4,linear,43,240
4,spherical,43,237
4,random,19,79
4,linear,44,244
4,spherical,44,236
4,random,20,68
4,linear,45,241
4,spherical,45,223
4,random,16,64
4,linear,46,258
4,spherical,46,242
4,random,17,75
4,linear,47,273
4,spherical,47,227
4,random,14,53
4,linear,48,272
4,spherical,48,257
4,random,24,106
4,linear,49,271
4,spherical,49,260
4,random,20,92
4,linear,50,306
4,spherical,50,263
5,random,1,5
5,linear,1,5
5,spherical,1,5
5,random,2,11
5,linear,2,9
5,spherical,2,11
5,random,2,9
5,linear,3,17
5,spherical,3,19
5,random,3,15
5,linear,4,27
5,spherical,4,25
5,random,5,33
5,linear,5,37
5,spherical,5,37
5,random,5,23
5,linear,6,41
5,spherical,6,37
5,random,5,23
5,linear,7,61
5,spherical,7,51
5,random,7,43
5,linear,8,51
5,spherical,8,65
5,random,8,65
5,linear,9,83
5,spherical,9,73
5,random,7,53
5,linear,10,91
5,spherical,10,91
5,random,6,39
5,linear,11,105
5,spherical,11,99
5,random,12,97
5,linear,12,107
5,spherical,12,107
5,random,9,57
5,linear,13,137
5,spherical,13,129
5,random,10,73
5,linear,14,135
5,spherical,14,121
5,random,10,59
5,linear,15,157
5,spherical,15,125
5,random,11,61
5,linear,16,205
5,spherical,16,141
5,random,16,167
5,linear,17,187
5,spherical,17,181
5,random,14,143
5,linear,18,203
5,spherical,18,207
5,random,12,73
5,linear,19,279
5,spherical,19,227
5,random,12,101
5,linear,20,215
5,spherical,20,227
5,random,17,141
5,linear,21,253
5,spherical,21,215
5,random,17,153
5,linear,22,325
5,spherical,22,275
5,random,16,159
5,linear,23,277
5,spherical,23,241
5,random,18,193
5,linear,24,319
5,spherical,24,291
5,random,18,187
5,linear,25,341
5,spherical,25,249
5,random,16,147
5,linear,26,345
5,spherical,26,317
5,random,15,137
5,linear,27,299
5,spherical,27,297
5,random,12,91
5,linear,28,349
5,spherical,28,313
5,random,16,115
5,linear,29,387
5,spherical,29,343
5,random,21,245
5,linear,30,445
5,spherical,30,375
5,random,22,221
5,linear,31,435
5,spherical,31,421
5,random,22,153
5,linear,32,491
5,spherical,32,379
5,random,26,309
5,linear,33,487
5,spherical,33,437
5,random,25,247
5,linear,34,465
5,spherical,34,441
5,random,23,219
5,linear,35,571
5,spherical,35,481
5,random,16,131
5,linear,36,529
5,spherical,36,509
5,random,23,299
5,linear,37,519
5,spherical,37,549
5,random,28,299
5,linear,38,517
5,spherical,38,539
5,random,22,221
5,linear,39,549
5,spherical,39,563
5,random,14,119
5,linear,40,625
5,spherical,40,529
5,random,29,259
5,linear,41,569
5,spherical,41,463
5,random,25,261
5,linear,42,659
5,spherical,42,583
5,random,24,209
5,linear,43,777
5,spherical,43,585
5,random,26,265
5,linear,44,735
5,spherical,44,645
5,random,22,215
5,linear,45,773
5,spherical,45,739
5,random,29,333
5,linear,46,831
5,spherical,46,641
5,random,23,221
5,linear,47,763
5,spherical,47,635
5,random,27,211
5,linear,48,775
5,spherical,48,727
5,random,23,197
5,linear,49,753
5,spherical,49,733
5,random,32,337
5,linear,50,745
5,spherical,50,729
6,random,1,6
6,linear,1,6
6,spherical,1,6
6,random,2,14
6,linear,2,15
6,spherical,2,14
6,random,3,23
6,linear,3,27
6,spherical,3,26
6,random,4,39
6,linear,4,39
6,spherical,4,37
6,random,5,53
6,linear,5,57
6,spherical,5,53
6,random,5,39
6,linear,6,80
6,spherical,6,75
6,random,7,72
6,linear,7,93
6,spherical,7,70
6,random,8,48
6,linear,8,153
6,spherical,8,107
6,random,8,113
6,linear,9,147
6,spherical,9,159
6,random,9,164
6,linear,10,157
6,spherical,10,184
6,random,10,128
6,linear,11,217
6,spherical,11,191
6,random,12,161
6,linear,12,253
6,spherical,12,256
6,random,13,210
6,linear,13,289
6,spherical,13,267
6,random,11,168
6,linear,14,304
6,spherical,14,239
6,random,12,138
6,linear,15,377
6,spherical,15,374
6,random,14,228
6,linear,16,390
6,spherical,16,318
6,random,15,237
6,linear,17,410
6,spherical,17,436
6,random,16,213
6,linear,18,527
6,spherical,18,313
6,random,15,281
6,linear,19,506
6,spherical,19,432
6,random,15,372
6,linear,20,511
6,spherical,20,617
6,random,18,373
6,linear,21,583
6,spherical,21,535
6,random,17,308
6,linear,22,623
6,spherical,22,551
6,random,16,217
6,linear,23,772
6,spherical,23,660
6,random,15,179
6,linear,24,663
6,spherical,24,667
6,random,20,324
6,linear,25,771
6,spherical,25,638
6,random,15,310
6,linear,26,866
6,spherical,26,654
6,random,22,500
6,linear,27,1024
6,spherical,27,834
6,random,24,577
6,linear,28,1077
6,spherical,28,728
6,random,22,397
6,linear,29,1064
6,spherical,29,950
6,random,27,643
6,linear,30,1077
6,spherical,30,936
6,random,27,631
6,linear,31,1023
6,spherical,31,1077
6,random,26,717
6,linear,32,1306
6,spherical,32,1181
6,random,24,441
6,linear,33,1056
6,spherical,33,1085
6,random,28,532
6,linear,34,1418
6,spherical,34,1150
6,random,25,382
6,linear,35,1419
6,spherical,35,1270
6,random,29,638
6,linear,36,1334
6,spherical,36,1337
6,random,23,392
6,linear,37,1302
6,spherical,37,1497
6,random,23,394
6,linear,38,1660
6,spherical,38,1378
6,random,28,506
6,linear,39,1487
6,spherical,39,1333
6,random,33,438
6,linear,40,1640
6,spherical,40,1808
6,random,27,487
6,linear,41,1887
6,spherical,41,1456
6,random,32,725
6,linear,42,1493
6,spherical,42,1550
6,random,28,986
6,linear,43,1599
6,spherical,43,1551
6,random,37,1043
6,linear,44,2026
6,spherical,44,1556
6,random,34,866
6,linear,45,2091
6,spherical,45,1987
