front_size,idx,time,n_kink_points
1,0,0.00199,4.0
1,1,0.00401,4.0
1,2,0.00161,4.0
1,3,0.00189,4.0
1,4,0.003,4.0
1,5,0.00199,4.0
1,6,0.002,4.0
1,7,0.00201,4.0
1,8,0.002,4.0
1,9,0.002,4.0
2,0,0.004,8.0
2,1,0.004,8.0
2,2,0.003,7.0
2,3,0.004,8.0
2,4,0.004,8.0
2,5,0.004,8.0
2,6,0.003,8.0
2,7,0.004,8.0
2,8,0.00401,8.0
2,9,0.004,8.0
4,0,0.00701,14.0
4,1,0.007,17.0
4,2,0.00699,16.0
4,3,0.006,14.0
4,4,0.009,19.0
4,5,0.007,16.0
4,6,0.00801,17.0
4,7,0.007,14.0
4,8,0.00612,14.0
4,9,0.007,15.0
8,0,0.015,30.0
8,1,0.01672,32.0
8,2,0.014,30.0
8,3,0.014,30.0
8,4,0.01672,35.0
8,5,0.01601,32.0
8,6,0.01618,33.0
8,7,0.016,33.0
8,8,0.016,33.0
8,9,0.01672,34.0
16,0,0.041,81.0
16,1,0.03872,76.0
16,2,0.03811,75.0
16,3,0.04099,75.0
16,4,0.03762,77.0
16,5,0.04022,75.0
16,6,0.04099,81.0
16,7,0.03972,81.0
16,8,0.03313,67.0
16,9,0.036,73.0
32,0,0.08983,165.0
32,1,0.08484,158.0
32,2,0.09183,157.0
32,3,0.10583,185.0
32,4,0.09522,166.0
32,5,0.09955,166.0
32,6,0.09073,163.0
32,7,0.09273,164.0
32,8,0.09784,165.0
32,9,0.08786,154.0
64,0,0.24095,345.0
64,1,0.27336,367.0
64,2,0.25929,383.0
64,3,0.27275,351.0
64,4,0.24272,336.0
64,5,0.22707,355.0
64,6,0.22367,314.0
64,7,0.27342,357.0
64,8,0.25186,338.0
64,9,0.23842,345.0
128,0,0.68614,763.0
128,1,0.67027,748.0
128,2,0.7368,781.0
128,3,0.72087,752.0
128,4,0.70356,765.0
128,5,0.70288,781.0
128,6,0.69702,740.0
128,7,0.67251,759.0
128,8,0.77451,785.0
128,9,0.63089,761.0
256,0,2.11246,1593.0
256,1,2.26348,1648.0
256,2,2.13802,1648.0
256,3,1.96056,1638.0
256,4,2.28737,1630.0
256,5,2.07766,1568.0
256,6,2.18928,1623.0
256,7,2.05806,1629.0
256,8,2.02528,1647.0
256,9,2.16433,1655.0
512,0,6.36943,3338.0
512,1,6.72736,3340.0
512,2,7.01106,3392.0
512,3,7.09147,3474.0
512,4,6.98016,3392.0
512,5,7.31328,3442.0
512,6,6.97622,3430.0
512,7,6.72909,3418.0
512,8,7.38859,3400.0
512,9,6.57834,3324.0
1024,0,24.63092,7079.0
1024,1,24.83064,7151.0
1024,2,24.34971,7118.0
1024,3,22.51919,7130.0
1024,4,26.26753,7059.0
1024,5,25.00514,7171.0
1024,6,26.70134,7204.0
1024,7,24.41938,7113.0
1024,8,24.19624,7120.0
1024,9,25.93244,7173.0
2048,0,92.66615,14601.0
2048,1,91.88063,14865.0
2048,2,90.59643,14722.0
2048,3,87.64209,14775.0
2048,4,88.61039,14753.0
2048,5,83.35639,14705.0
2048,6,85.89592,14807.0
2048,7,91.51914,14827.0
2048,8,84.04961,14740.0
2048,9,83.38478,14894.0
