front_size,idx,time,n_kink_points
1,0,0.0001,5.0
1,1,0.0001,5.0
1,2,0.0001,5.0
1,3,0.00064,5.0
1,4,0.0001,5.0
1,5,0.0001,5.0
1,6,0.0001,5.0
1,7,0.0001,5.0
1,8,0.01601,5.0
1,9,0.0001,5.0
2,0,0.0001,11.0
2,1,0.00201,11.0
2,2,0.0001,11.0
2,3,0.0001,11.0
2,4,0.0001,11.0
2,5,0.0001,11.0
2,6,0.00201,9.0
2,7,0.0001,11.0
2,8,0.01621,11.0
2,9,0.0001,11.0
4,0,0.01573,27.0
4,1,0.0001,25.0
4,2,0.0001,29.0
4,3,0.0001,25.0
4,4,0.0001,23.0
4,5,0.0001,27.0
4,6,0.01578,25.0
4,7,0.0001,25.0
4,8,0.0001,29.0
4,9,0.0001,27.0
8,0,0.01572,79.0
8,1,0.01603,73.0
8,2,0.016,63.0
8,3,0.01581,63.0
8,4,0.01623,65.0
8,5,0.01596,73.0
8,6,0.01593,65.0
8,7,0.0001,57.0
8,8,0.0001,67.0
8,9,0.0158,75.0
16,0,0.04756,171.0
16,1,0.07875,193.0
16,2,0.09513,169.0
16,3,0.07995,197.0
16,4,0.06343,157.0
16,5,0.07941,171.0
16,6,0.0483,173.0
16,7,0.1,199.0
16,8,0.07745,189.0
16,9,0.06581,171.0
32,0,0.36777,429.0
32,1,0.27148,417.0
32,2,0.36719,505.0
32,3,0.3515,475.0
32,4,0.31874,419.0
32,5,0.41624,403.0
32,6,0.43533,467.0
32,7,0.38533,397.0
32,8,0.35426,499.0
32,9,0.32435,459.0
64,0,2.24836,1161.0
64,1,2.11428,1109.0
64,2,2.0137,1185.0
64,3,2.10718,1187.0
64,4,2.34331,1081.0
64,5,1.92201,1161.0
64,6,1.559,1129.0
64,7,2.13285,1151.0
64,8,1.89074,1215.0
64,9,0.9031,1017.0
128,0,5.75556,2995.0
128,1,6.52122,2589.0
128,2,11.00923,3019.0
128,3,11.48688,2761.0
128,4,11.75169,2785.0
128,5,10.07626,2645.0
128,6,9.58391,2785.0
128,7,11.80265,2895.0
128,8,12.40651,2773.0
128,9,9.78147,2693.0
256,0,69.10577,6925.0
256,1,61.86141,6843.0
256,2,63.88188,6619.0
256,3,60.19962,6733.0
256,4,46.86154,6687.0
256,5,28.78787,6327.0
256,6,30.41482,6583.0
256,7,27.65768,6615.0
256,8,25.57604,6637.0
256,9,30.55524,6639.0
